line,trip,hour,num_val,output_escalator_count,output_doors_count,output_turnstile_count,input_turnstile_total_bandwidth,input_turnstile_count,input_doors_count,entry_id,year,month,day,cluster
СОКОЛЬНИЧЕСКАЯ,Б.Рокоссовского - Б.Рокоссовского,15.0,433.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,1,26,0
ТАГАНСК-КРАСНОПР,Сходненская - Сходненская,4.0,1.0,0.0,4.0,0.0,8.0,8.0,4.0,12.0,2023,2,15,2
БКЛ,Каховская - Каховская,11.0,277.0,0.0,4.0,0.0,8.0,8.0,4.0,1.0,2023,5,9,2
СЕРПУХОВ-ТИМИРЯЗ,Отрадное - Отрадное,2.0,1.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,1,14,2
ТАГАНСК-КРАСНОПР,Рязанский пр-т - Рязанский пр-т,0.0,47.0,0.0,3.0,4.0,7.0,7.0,3.0,3.0,2023,2,28,2
АРБАТСК-ПОКРОВСК,Молодёжная - Молодёжная,23.0,137.0,0.0,4.0,5.0,7.0,7.0,4.0,3.0,2023,4,13,0
ЗАМОСКВОРЕЦКАЯ,Коломенская - Коломенская,21.0,619.0,0.0,4.0,0.0,8.0,8.0,4.0,2.0,2023,6,22,0
АРБАТСК-ПОКРОВСК,Пл. Революции - Пл. Революции,11.0,322.0,0.0,6.0,8.0,13.0,13.0,4.0,3.0,2023,2,5,1
АРБАТСК-ПОКРОВСК,Киевская АПЛ - Киевская АПЛ,7.0,819.0,0.0,3.0,6.0,7.0,7.0,4.0,6.0,2023,1,5,0
НЕКРАСОВСКАЯ,Лухмановская - Лухмановская,9.0,971.0,,,,,,,,2023,4,14,0
СОКОЛЬНИЧЕСКАЯ,Воробьёвы горы - Воробьёвы горы,6.0,16.0,2.0,5.0,5.0,10.0,4.0,5.0,1.0,2023,6,29,2
КАЛУЖСКО-РИЖСКАЯ,Академическая - Академическая,1.0,11.0,0.0,3.0,4.0,5.0,5.0,3.0,1.0,2023,5,10,2
БУТОВСКАЯ ЛИНИЯ,Ул. Скобелевская - Ул. Скобелевская,13.0,326.0,0.0,3.0,8.0,4.0,4.0,3.0,13.0,2023,5,20,0
ЛЮБЛИНСКАЯ,Люблино - Люблино,17.0,662.0,0.0,4.0,5.0,8.0,8.0,4.0,12.0,2023,7,16,1
БКЛ,Сокольники БКЛ - Сокольники БКЛ,3.0,1.0,,,,,,,,2023,3,30,2
ТАГАНСК-КРАСНОПР,Спартак - Спартак,10.0,156.0,,,,,,,,2023,7,28,2
